,Calorie
0,1136
1,320
2,210
3,200
4,210
5,200
6,150
7,770
8,610
9,510
10,470
11,360
12,660
13,450
14,440
15,310
16,380
17,410
18,880
19,840
20,950
21,390
22,410
23,420
24,750
25,830
26,830
27,1220
28,280
29,370
30,300
31,320
32,380
33,280
34,440
35,520
36,130
37,390
38,540
39,510
40,500
41,470
42,430
43,220
44,200
45,420
46,350
47,310
48,270
49,300
50,550
51,510
52,450
53,420
54,350
55,220
56,210
57,120
58,10
59,390
60,260
61,190
62,110
63,240
