11월 30일 기준,,단위,분류
안심,15041,100g,protein
등심,15330,100g,protein
설도,5187,100g,protein
양지,7067,100g,protein
소갈비,7834,100g,protein
돼지앞다리,1312,100g,protein
삼겹살,2540,100g,protein
돼지갈비,1409,100g,protein
돼지목심,2389,100g,protein
소갈비(수입),4128,100g,protein
소갈비살(수입),4621,100g,protein
삼겹살(수입),1562,100g,protein
닭고기,5424,1kg,protein
우유,2779,1kg,dairy
고등어,1095,100g,protein
염장고등어,818,100g,protein
갈치,2376,100g,protein
갈치(냉동),1723,100g,protein
조기,1392,100g,protein
명태,513,100g,protein
물오징어,2051,100g,protein
물오징어(냉동),1290,100g,protein
굴,27760,1kg,protein
쌀,53791,20kg,grain
찹쌀,3642,1kg,grain
콩,5400,500g,grain
팥,6349,500g,grain
고구마,5166,1kg,vegetable
감자,422,100g,vegetable
시금치,7380,1kg,vegetable
적상추,824,100g,vegetable
청상추,894,100g,vegetable
얼갈이배추,2525,1kg,vegetable
갓,4558,1kg,vegetable
토마토,5807,1kg,vegetable
딸기,1061,100g,fruit
당근,3757,1kg,vegetable
열무,2791,1kg,vegetable
풋고추,1184,100g,vegetable
마늘,11232,1kg,vegetable
양파,2839,1kg,vegetable
파,3403,1kg,vegetable
생강,11577,1kg,vegetable
미나리,1376,100g,vegetable
깻잎,2144,100g,vegetable
피망,982,100g,vegetable
파프리카,1152,200g,vegetable
방울토마토,8858,1kg,vegetable
포도,8011,1kg,fruit
바나나,325,100g,vegetable
체리,3185,100g,fruit
건포도,931,100g,fruit
