,Price
0,6900
1,4450
2,4470
3,4170
4,4770
5,3870
6,7400
7,2970
8,3270
9,8450
10,4770
11,5960
12,7607
13,9450
14,4950
15,4760
16,5950
17,6450
18,3960
19,3357
20,7950
21,6450
22,7450
23,8450
24,6360
25,7155
26,7950
27,5160
28,7450
29,7450
30,6450
31,5450
32,6360
33,8950
34,7950
35,9155
36,6450
37,8490
38,4950
39,4360
40,7265
41,6225
42,6950
43,7500
44,6905
45,5715
46,7950
47,5325
48,5725
49,8135
50,5355
51,9885
52,8815
53,7450
54,8455
55,12510
56,6660
57,7205
58,7400
59,9770
60,6695
61,7950
62,5355
63,4450
64,7450
65,4905
66,2045
67,8950
68,7365
69,6300
70,8775
71,6950
72,9710
73,7545
74,9320
75,6790
76,8950
77,6450
78,6400
79,6450
80,6950
81,8185
82,7950
83,5285
84,7265
85,8740
86,7710
87,5450
88,8950
89,6935
90,5505
91,4905
92,8450
93,14805
94,7950
95,9450
96,5950
97,5450
98,5445
99,11400
100,4950
101,8950
102,8950
103,8985
104,9950
105,11900
106,5840
107,5950
108,6450
109,6950
110,6950
111,6695
112,7450
113,8505
114,9450
115,10900
116,8450
117,7950
118,6450
119,15815
120,7705
121,8950
122,11950
123,5450
124,8250
125,8850
126,12835
127,9950
128,6950
129,7950
130,6450
131,8950
132,5450
133,9225
134,11950
135,8775
136,6450
137,6950
138,11400
139,6950
140,7950
141,6000
142,6950
143,8450
144,5950
145,11900
146,6950
147,10900
148,6450
149,11425
150,6950
151,6950
152,9250
153,13400
154,11450
155,10075
156,5950
157,8950
158,6750
159,2950
160,5950
161,5950
162,5950
163,6950
164,7950
165,8950
166,10945
167,8950
168,4950
169,5450
170,5450
171,5950
172,6450
173,6450
174,6950
175,6950
176,7450
177,7950
178,8450
179,8450
180,8950
181,9450
182,9950
183,9950
184,9950
185,10785
186,15950
187,6450
188,5950
189,5950
190,11900
191,5950
192,6450
193,6450
194,12900
195,6750
196,6750
197,6950
198,6950
199,7250
200,7950
201,8450
202,8950
203,8950
204,9250
205,10250
206,10950
207,10950
208,10950
209,11400
210,11450
211,11450
212,15950
213,16140
214,22505
215,6450
216,5950
217,15950
218,7950
219,5450
220,6950
221,4880
222,7950
223,9750
224,12045
225,6950
226,4950
227,10500
228,3950
229,4950
230,5750
231,12500
232,6450
233,14900
234,7950
235,20500
236,11450
237,6450
238,3900
239,4450
240,4450
241,4950
242,4950
243,4950
244,4950
245,5200
246,5250
247,7450
248,7950
249,7950
250,7950
251,8450
252,8950
253,9450
254,19500
255,10450
256,11400
257,12450
258,12950
259,13900
260,15350
261,16550
262,16550
263,5950
264,7950
265,9750
266,5950
267,5950
268,8450
269,5950
270,8950
271,12900
272,7950
273,4450
274,7950
275,9750
276,6950
277,12500
278,8950
279,23900
280,7950
281,6450
282,19750
283,8250
284,8450
285,9750
286,11900
287,11950
288,16500
289,5450
290,5950
291,7950
292,7950
