"상품군별","판매매체별",2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09,2017.10,2017.11,2017.12,2018.01,2018.02,2018.03,2018.04,2018.05,2018.06,2018.07,2018.08,2018.09,2018.10,2018.11,2018.12,2019.01,2019.02,2019.03,2019.04,2019.05,2019.06,2019.07,2019.08,2019.09,2019.10,2019.11,2019.12,2020.01,2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09 p),2022.10 p)
"합계","계",7310479,7148849,7747011,7380795,7621719,7515130,7898554,7859658,8151143,7661802,8996978,8893647,9027008,8207296,9375766,9034274,9363224,8965075,9653420,9270381,9137279,10016442,10574144,10689701,10811796,9666871,11296239,10763785,11374817,10725166,11302975,11418155,11397646,12008033,12991605,12843750,12106130,11786568,12395207,11865005,12512199,12423338,12766131,13308851,13693126,13744323,14881920,15836939,14837102,13577763,15512273,14700940,15646276,15199135,15648949,15275572,15612445,16367863,16889719,17810403,16481666,15411988,17228659,16464935,17346652,16805402,17048381,17753841,17144757,17711484
"합계","인터넷쇼핑",3390183,3298823,3585449,3304819,3359693,3341138,3404599,3395357,3585077,3247093,3781198,3582993,3689807,3300302,3869098,3628814,3686046,3507124,3709400,3499822,3524171,3773503,3986055,3934853,3994468,3465165,4207216,4047525,4192050,3835061,4065650,4075273,4106183,4255196,4532075,4461119,3930557,3721868,3951377,3885880,3878490,4023242,4032011,4008293,4213929,4219429,4722318,4662833,4201715,3782244,4580239,4087111,4423334,4475154,4187579,4042037,4168813,4369435,4710119,4534307,4053578,3642068,4398340,4185239,4483673,4370545,4106138,4494021,4488689,4788829
"합계","모바일쇼핑",3920295,3850025,4161562,4075976,4262026,4173992,4493955,4464301,4566066,4414710,5215779,5310654,5337201,4906994,5506668,5405460,5677178,5457951,5944021,5770559,5613108,6242938,6588089,6754848,6817328,6201706,7089023,6716261,7182767,6890105,7237325,7342882,7291464,7752837,8459530,8382632,8175573,8064700,8443830,7979125,8633708,8400096,8734120,9300557,9479197,9524894,10159601,11174106,10635386,9795520,10932034,10613829,11222943,10723981,11461370,11233535,11443632,11998428,12179600,13276096,12428087,11769920,12830319,12279696,12862978,12434858,12942243,13259821,12656068,12922655
"컴퓨터 및 주변기기","계",422384,475342,473351,368280,350923,376719,380974,416393,399512,353524,460739,475478,511674,453408,504061,409054,404235,371844,404250,418905,382179,419744,468166,501362,561512,542469,532496,469169,440108,389195,443122,447965,435676,445118,528007,554877,538557,606960,677703,632656,579558,521536,594361,575381,604967,547008,649042,785304,789429,780684,793461,637878,628507,574397,666616,655940,627940,614556,720277,807793,765063,840975,799795,610611,639443,540212,595860,615127,588759,575650
"컴퓨터 및 주변기기","인터넷쇼핑",288391,329143,322089,251604,241871,262908,252949,280831,270647,235350,302907,320177,324233,275786,310948,243815,237559,220404,239475,249200,226280,254118,275284,294467,329496,305306,313340,279362,263783,240539,271299,269744,261053,274936,306368,339917,300558,327981,373194,351931,332893,310283,354188,313156,337999,319138,358166,455333,441902,433263,463397,353623,318085,321949,380836,355068,315002,336509,390405,448385,417444,436160,434634,316434,323192,285195,314338,309595,297705,302090
"컴퓨터 및 주변기기","모바일쇼핑",133993,146200,151262,116675,109053,113811,128025,135562,128865,118174,157832,155301,187441,177621,193113,165240,166676,151440,164775,169705,155899,165626,192882,206895,232016,237163,219156,189807,176325,148657,171823,178221,174623,170182,221639,214960,237999,278978,304509,280725,246665,211254,240173,262225,266968,227870,290876,329971,347528,347421,330065,284255,310422,252447,285781,300871,312938,278047,329873,359409,347618,404815,365161,294177,316251,255017,281522,305532,291054,273560
"가전·전자·통신기기","계",602122,626874,667726,716708,861618,752474,926867,758482,706658,728407,948510,815267,858256,770401,946627,945259,1026133,963674,1188194,960593,792407,989521,1182355,1043945,1063081,982059,1324884,1134227,1296165,1177804,1230419,1198465,1096363,1200192,1357353,1213392,1133601,1327134,1401448,1333909,1548002,1518819,1393142,1638217,1420383,1615545,1904852,1856603,1852363,1594716,1658925,1624222,1769173,1712273,1982115,1770300,1664968,2112143,2050975,2031245,1745219,1910602,1745476,1649638,1808321,1778486,1869645,1912298,1724616,2204542
"가전·전자·통신기기","인터넷쇼핑",307496,328088,349185,366894,417717,366554,432760,359011,343507,333413,462529,387969,398999,351716,435766,420663,447810,424143,511557,424778,340868,429553,517411,470859,451529,403124,568865,523731,577082,488946,522133,511230,462355,525905,568012,518944,448233,542441,575506,566519,604766,590616,548196,605573,526084,626470,779516,727528,694624,582931,629558,605621,623048,608641,695423,633734,542670,772007,730604,694181,609236,628926,612022,585435,598508,563575,577989,612379,517563,827614
"가전·전자·통신기기","모바일쇼핑",294626,298786,318541,349814,443900,385920,494107,399471,363151,394994,485981,427298,459257,418685,510861,524596,578323,539531,676637,535814,451538,559968,664944,573086,611551,578935,756020,610496,719082,688858,708286,687235,634009,674287,789341,694448,685368,784693,825942,767391,943236,928203,844947,1032644,894299,989075,1125335,1129074,1157739,1011785,1029367,1018601,1146125,1103633,1286692,1136566,1122299,1340136,1320371,1337064,1135983,1281676,1133455,1064203,1209813,1214911,1291655,1299919,1207054,1376928
"서적","계",151230,154330,185571,122418,114380,116272,143084,149989,136666,113732,132523,161681,171254,147783,191597,144169,129125,117353,148060,149224,128183,131744,142405,168500,173949,154317,196741,147909,133322,122458,156406,154251,147118,133779,147454,178831,169926,189388,261298,204847,169464,170175,186432,202311,220032,169780,191977,266325,259199,213414,271350,195198,186486,183379,222044,217430,205452,184721,197089,258381,238408,224837,276977,210975,194142,175406,207850,214492,199291,170668
"서적","인터넷쇼핑",103851,106649,126052,82291,78606,78615,95733,100090,88774,72439,87946,103589,107123,93094,121120,91304,81391,72096,90323,91948,77468,80587,86299,102843,100029,90350,114766,86671,78172,70403,89520,88775,82034,75696,84329,99281,87462,100728,137587,106559,91846,90879,98345,105965,114552,90108,101346,138302,126325,108125,140654,100835,95698,92672,106241,108446,98063,92643,101771,128165,105601,103216,128300,104960,98864,85669,101542,105083,97370,86102
"서적","모바일쇼핑",47379,47680,59519,40127,35774,37657,47351,49898,47891,41293,44577,58092,64132,54689,70476,52865,47734,45257,57737,57276,50715,51156,56107,65657,73920,63967,81975,61239,55150,52055,66886,65476,65084,58084,63125,79550,82464,88660,123712,98287,77618,79296,88087,96346,105481,79673,90631,128023,132874,105289,130696,94363,90787,90708,115803,108984,107389,92079,95318,130216,132808,121620,148677,106015,95278,89737,106309,109410,101921,84567
"사무·문구","계",53192,60403,70006,61954,57239,55970,53826,57751,60475,56321,67942,77865,72870,71721,81900,68006,63621,59557,62526,62271,58392,71115,76364,89744,79764,71208,81741,80638,72149,63607,69488,69003,69440,78616,85392,103299,77214,87272,88777,81374,81854,80278,82692,73481,85335,92072,99987,129156,96867,86976,105288,95773,84701,83124,79504,81495,88688,103614,106534,138918,99203,102579,111086,104370,91652,90435,92713,96238,100321,110981
"사무·문구","인터넷쇼핑",37233,41550,45751,41721,39428,37788,35743,38125,39683,37422,44129,50562,46397,46450,51251,41862,39157,36238,37606,37810,33529,41333,43264,50853,42332,37243,43678,44447,38273,32913,36270,36165,35372,38660,42881,49822,35464,38422,37760,35305,35460,36779,37207,31018,36875,40048,44006,54098,38737,34076,44399,40907,34188,35357,32386,33649,35307,42288,47873,57347,37556,38212,39434,38651,30324,32571,33317,33474,34446,41809
"사무·문구","모바일쇼핑",15959,18854,24255,20233,17810,18181,18084,19625,20792,18898,23812,27303,26473,25271,30649,26145,24464,23319,24920,24461,24862,29782,33099,38890,37433,33966,38063,36190,33876,30694,33219,32838,34068,39956,42511,53476,41751,48850,51017,46069,46394,43499,45485,42463,48460,52024,55982,75058,58130,52901,60888,54866,50513,47767,47117,47846,53381,61327,58661,81571,61647,64367,71652,65720,61328,57864,59396,62764,65875,69172
"의복","계",864515,827672,1042742,972647,978235,909742,887371,758225,959679,1034705,1443945,1195890,964236,825152,1163132,1078268,1101406,1017864,992332,828362,1003952,1350908,1482193,1390544,1107321,959743,1238235,1204083,1278281,1133621,1139671,912495,1187128,1413279,1710042,1462342,1027047,938264,1163579,1155879,1322705,1302365,1092426,903288,1139160,1593552,1761425,1492560,1083924,1001223,1453986,1365934,1375013,1396560,1255424,1040043,1296167,1755277,1806676,1812605,1285904,1141302,1551321,1625014,1617887,1501851,1397846,1175566,1473352,1860942
"의복","인터넷쇼핑",397422,382105,478990,441022,439084,394173,392273,338973,434408,439236,586462,458290,392385,336102,482845,447945,453370,410733,394750,326889,399362,493284,554222,509666,453476,384783,467275,464610,500106,440260,457448,347920,431788,509999,592593,520303,344662,317879,381999,404391,439901,433977,375077,312831,389482,528037,623392,511955,343117,299479,449154,434188,439144,453988,387401,322127,396240,524361,588072,553161,365545,317451,433340,467191,473726,442451,401286,331533,411075,539531
"의복","모바일쇼핑",467093,445567,563752,531625,539150,515569,495098,419251,525271,595469,857482,737601,571852,489051,680287,630323,648036,607131,597582,501473,604591,857624,927971,880877,653845,574960,770960,739473,778175,693361,682223,564575,755340,903280,1117449,942040,682385,620386,781580,751488,882804,868388,717349,590457,749677,1065515,1138033,980605,740806,701744,1004832,931746,935868,942572,868023,717915,899926,1230916,1218604,1259445,920358,823851,1117981,1157822,1144161,1059400,996559,844033,1062278,1321410
"신발","계",103798,118631,153293,151628,160562,156160,140746,118311,140246,140365,175549,154928,131568,124447,169117,169439,172582,164251,157952,125953,139473,164235,188387,179236,159646,156431,206810,204171,217438,211418,205065,162540,201008,212645,251485,231875,163078,172717,202992,209318,247007,244096,219823,175627,190865,228078,277583,235591,172563,190876,265603,238449,273203,282988,237440,200407,210742,248054,279231,283715,214947,203623,272707,281447,303140,282081,255834,253609,251312,267319
"신발","인터넷쇼핑",42529,44976,55799,54249,55797,54666,48228,40961,49838,47801,61475,52613,45709,40727,56004,55859,57571,55260,51664,38886,46884,50340,57508,54381,57560,53174,75702,78125,84205,84744,77272,59872,78129,82966,97033,97311,50215,56091,66707,78519,80772,83186,78196,56788,65184,74855,103948,78627,59293,65260,89379,85838,101673,111277,86537,79337,68829,78153,100028,95227,79524,66959,94208,91255,112169,89149,73268,97277,77953,73522
"신발","모바일쇼핑",61269,73655,97495,97379,104765,101494,92518,77350,90408,92565,114073,102315,85859,83720,113113,113580,115010,108990,106288,87067,92588,113895,130879,124855,102086,103257,131109,126046,133233,126674,127793,102668,122879,129679,154452,134564,112863,116626,136285,130799,166235,160910,141627,118839,125681,153223,173635,156964,113270,125617,176224,152611,171530,171711,150903,121070,141913,169901,179203,188488,135423,136663,178500,190192,190972,192932,182566,156331,173359,193797
"가방","계",143643,163204,168660,159399,152370,149442,151719,163461,165215,157007,169508,180854,186542,178154,194190,185469,190609,176525,192018,180739,176869,184737,180036,201321,202289,211934,230083,218640,225132,210523,209939,222228,228842,235527,232236,245214,209623,209098,218312,197855,223745,238258,239820,225361,222912,234555,246595,251948,229370,236077,280917,270707,268539,253042,254968,246344,255293,280783,372703,293022,262846,255724,293711,285692,291330,296603,293550,307303,300138,295731
"가방","인터넷쇼핑",43978,53127,54028,47250,45044,43903,44194,47640,48352,44345,49080,51051,51391,48277,50380,49197,48223,45187,50196,45336,41905,44515,43401,47722,50523,49676,53787,55233,55623,48750,54842,52064,54017,54563,55558,57540,52520,52185,49848,48358,50613,52709,54876,48935,47741,48312,54476,52535,45617,46801,55514,53290,51765,51012,51043,48324,48627,55897,56968,59583,49203,50794,56542,56479,57860,55466,53985,56307,57309,54593
"가방","모바일쇼핑",99665,110077,114633,112149,107327,105539,107525,115821,116864,112662,120428,129802,135151,129877,143810,136272,142386,131338,141822,135402,134965,140222,136635,153599,151766,162258,176296,163407,169509,161773,155097,170164,174824,180964,176678,187674,157103,156913,168464,149498,173132,185549,184944,176426,175171,186243,192120,199413,183753,189276,225403,217418,216774,202030,203925,198019,206666,224886,315735,233439,213643,204930,237169,229213,233470,241137,239566,250996,242829,241138
"패션용품 및 액세서리","계",143439,146885,165677,165183,168702,162825,170035,178204,170345,161449,189580,206100,195299,178379,210147,196288,198073,189401,209945,194350,169357,182647,192160,220802,191270,185262,211277,213521,233789,215417,231955,212401,212056,206328,216318,242365,199331,182790,182878,167749,189517,186921,200200,177172,162797,167234,184018,213764,181348,168376,198420,199495,211157,200125,208256,189094,190296,206119,213977,262800,218744,202831,209966,208919,224381,229002,231273,215193,212836,211032
"패션용품 및 액세서리","인터넷쇼핑",56669,58915,63045,59952,61938,61378,63749,67589,63340,57204,66076,69667,67231,60565,71766,64739,66788,64458,70239,67109,57332,58805,60670,69189,57407,57275,66365,73293,76517,66261,70801,65641,65576,63501,63314,69366,58595,54601,56126,53480,59103,55809,61498,51340,47697,46731,54061,58690,49532,44687,52858,52246,53935,51742,55158,47776,47201,55132,55965,64341,49857,44708,45734,46224,48080,43679,42261,42704,41743,53191
"패션용품 및 액세서리","모바일쇼핑",86770,87970,102632,105230,106764,101447,106286,110615,107005,104244,123504,136433,128067,117814,138381,131549,131286,124943,139706,127241,112025,123842,131490,151613,133863,127988,144911,140228,157272,149156,161154,146760,146480,142827,153004,172999,140736,128189,126752,114268,130413,131111,138702,125832,115100,120503,129957,155074,131816,123688,145562,147249,157222,148383,153098,141318,143096,150987,158012,198458,168886,158123,164232,162695,176301,185323,189013,172490,171092,157841
"스포츠·레저용품","계",201380,207110,257361,283154,292971,289069,292683,266351,265466,274798,313019,258250,230779,200710,283820,298574,330784,325017,360361,300229,304161,389324,373871,332875,275432,251940,331660,361085,408724,363405,391095,337705,343934,406650,417226,361262,277217,287490,361914,429606,484409,484415,500723,412562,450923,555022,541631,473867,366481,334004,462177,522182,513182,500934,520956,474800,510279,591768,550205,514585,401396,379122,487356,555349,595898,525013,533580,504792,528973,613838
"스포츠·레저용품","인터넷쇼핑",104489,106163,128706,135380,138288,137585,133912,122467,124327,126699,141177,118429,104533,91209,123291,129065,137411,133562,145252,123519,126162,157246,150248,133187,110120,101920,138742,155688,168489,145672,159170,136062,138503,160646,157915,142094,104099,108645,129611,156204,167607,169540,175513,135898,149962,185790,188247,162140,120299,107314,150031,163286,154130,153834,160023,142596,145109,174640,171102,162799,122511,114066,138475,154809,169958,145564,144593,137827,143564,179322
"스포츠·레저용품","모바일쇼핑",96891,100947,128655,147775,154683,151484,158771,143884,141138,148099,171843,139821,126246,109501,160529,169509,193374,191456,215110,176711,178000,232078,223624,199688,165312,150020,192918,205397,240235,217734,231926,201643,205431,246005,259311,219167,173118,178845,232303,273402,316802,314875,325209,276664,300961,369232,353384,311726,246182,226690,312145,358895,359052,347100,360934,332204,365170,417128,379103,351786,278885,265056,348881,400540,425939,379449,388987,366964,385409,434516
"화장품","계",654145,729228,715294,583336,622853,652533,619456,652563,717116,677876,789224,703544,770908,746376,831653,802428,818526,772505,778966,801984,849617,894287,911566,873247,901348,863072,1025719,963721,990437,944962,986542,1039664,1102640,1158245,1210348,1193049,1115832,1041073,971374,949965,927351,978091,1002712,1081476,1078717,1039189,1140393,1095910,1094223,920866,1062271,1030379,1146809,1027765,970780,913268,1008814,973702,1076587,947932,872307,863924,951417,848008,911125,869456,782802,821338,863945,865957
"화장품","인터넷쇼핑",273399,300678,353850,251566,262428,274418,258757,280375,331282,311318,354520,290554,335960,316879,391775,363671,361374,333163,335961,342475,392815,401459,398730,352694,328732,301601,416273,384095,396828,375254,397100,433334,483892,502379,530197,492965,465477,422642,525542,590008,519020,565283,597678,674877,629684,587581,645198,554534,575252,437629,527460,500518,589834,490710,440934,351379,425528,423224,448589,262992,216065,222157,276410,231837,218772,224539,167875,175775,216287,220126
"화장품","모바일쇼핑",380746,428550,361445,331769,360424,378115,360699,372187,385834,366559,434703,412990,434948,429497,439877,438758,457152,439341,443006,459509,456801,492829,512836,520553,572616,561471,609446,579626,593608,569708,589441,606331,618749,655866,680151,700083,650355,618432,445832,359957,408331,412807,405033,406599,449033,451608,495195,541375,518971,483237,534811,529862,556975,537055,529846,561889,583286,550478,627998,684940,656242,641766,675007,616172,692353,644917,614927,645563,647658,645831
"아동·유아용품","계",259790,262204,300200,293596,274565,259069,264579,263530,272277,260541,299591,377236,295195,268618,298883,320420,310798,271934,287390,275805,273741,308862,310073,393574,313678,286419,337553,354227,347942,303935,318267,308960,325269,349396,361415,442747,333993,388785,409251,401212,406758,368831,376166,369151,386595,390184,398816,526760,400873,368315,421935,431083,428884,383380,403388,379350,383288,411147,421737,550714,392897,389528,441850,467678,453114,401753,405737,411023,399680,425385
"아동·유아용품","인터넷쇼핑",76647,81434,95343,90564,76554,75478,72696,72846,75971,70801,84549,104274,75872,71246,84298,85677,85549,72371,72132,68243,68616,77542,79117,100708,75693,69315,81126,96255,89934,75393,81422,75234,80547,84728,84398,108853,72913,81789,83675,92023,86362,78369,81839,72777,80320,80801,90984,115200,76521,70253,82214,84967,79405,72304,74714,69458,68650,79438,85677,112892,67921,59535,72136,83207,72410,62781,59671,65637,65027,79814
